subject,predicate,object,source_url,sentence
Luis Walter Alvarez,bear,"June 13, 1911",https://www.famousscientists.org/luis-alvarez/,"Luis Walter Alvarez was born on June 13, 1911, in San Francisco, California."
Luis Walter Alvarez,bear,San Francisco,https://www.famousscientists.org/luis-alvarez/,"Luis Walter Alvarez was born on June 13, 1911, in San Francisco, California."
Luis Walter Alvarez,bear,California,https://www.famousscientists.org/luis-alvarez/,"Luis Walter Alvarez was born on June 13, 1911, in San Francisco, California."
"June 13, 1911",bear,San Francisco,https://www.famousscientists.org/luis-alvarez/,"Luis Walter Alvarez was born on June 13, 1911, in San Francisco, California."
"June 13, 1911",bear,California,https://www.famousscientists.org/luis-alvarez/,"Luis Walter Alvarez was born on June 13, 1911, in San Francisco, California."
San Francisco,bear,California,https://www.famousscientists.org/luis-alvarez/,"Luis Walter Alvarez was born on June 13, 1911, in San Francisco, California."
Luis,begin,San Francisco,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
Luis,begin,Madison School,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
Luis,begin,Polytechnic High School,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
San Francisco,begin,Madison School,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
San Francisco,begin,Polytechnic High School,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
Madison School,begin,San Francisco,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
Madison School,begin,Polytechnic High School,https://www.famousscientists.org/luis-alvarez/,"Luis began his education in San Francisco, first at Madison School, then at San Francisco Polytechnic High School."
1926,change,15,https://www.famousscientists.org/luis-alvarez/,"In 1926, when he was 15, his father changed jobs and the family moved to Rochester, Minnesota."
1926,change,Rochester,https://www.famousscientists.org/luis-alvarez/,"In 1926, when he was 15, his father changed jobs and the family moved to Rochester, Minnesota."
1926,change,Minnesota,https://www.famousscientists.org/luis-alvarez/,"In 1926, when he was 15, his father changed jobs and the family moved to Rochester, Minnesota."
15,change,Rochester,https://www.famousscientists.org/luis-alvarez/,"In 1926, when he was 15, his father changed jobs and the family moved to Rochester, Minnesota."
15,change,Minnesota,https://www.famousscientists.org/luis-alvarez/,"In 1926, when he was 15, his father changed jobs and the family moved to Rochester, Minnesota."
Rochester,change,Minnesota,https://www.famousscientists.org/luis-alvarez/,"In 1926, when he was 15, his father changed jobs and the family moved to Rochester, Minnesota."
Luis,graduate,Rochester High School,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Luis,graduate,Bachelor of Science,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Luis,graduate,the University of Chicago,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Luis,graduate,1928,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Rochester High School,graduate,Bachelor of Science,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Rochester High School,graduate,the University of Chicago,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Rochester High School,graduate,1928,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Bachelor of Science,graduate,the University of Chicago,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
Bachelor of Science,graduate,1928,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
the University of Chicago,graduate,1928,https://www.famousscientists.org/luis-alvarez/,"Luis graduated from Rochester High School, then started a Bachelor of Science course at the University of Chicago in 1928, intending to major in chemistry."
1932,graduate,Chicago,https://www.famousscientists.org/luis-alvarez/,"He graduated with a B.S. in physics in 1932, then continued as a graduate student at Chicago, where he was awarded a master’s degree in 1934, and a Ph.D. in physics in 1936."
1932,graduate,1934,https://www.famousscientists.org/luis-alvarez/,"He graduated with a B.S. in physics in 1932, then continued as a graduate student at Chicago, where he was awarded a master’s degree in 1934, and a Ph.D. in physics in 1936."
1932,graduate,1936,https://www.famousscientists.org/luis-alvarez/,"He graduated with a B.S. in physics in 1932, then continued as a graduate student at Chicago, where he was awarded a master’s degree in 1934, and a Ph.D. in physics in 1936."
Chicago,graduate,1934,https://www.famousscientists.org/luis-alvarez/,"He graduated with a B.S. in physics in 1932, then continued as a graduate student at Chicago, where he was awarded a master’s degree in 1934, and a Ph.D. in physics in 1936."
Chicago,graduate,1936,https://www.famousscientists.org/luis-alvarez/,"He graduated with a B.S. in physics in 1932, then continued as a graduate student at Chicago, where he was awarded a master’s degree in 1934, and a Ph.D. in physics in 1936."
1934,graduate,1936,https://www.famousscientists.org/luis-alvarez/,"He graduated with a B.S. in physics in 1932, then continued as a graduate student at Chicago, where he was awarded a master’s degree in 1934, and a Ph.D. in physics in 1936."
1932,build,Alvarez,https://www.famousscientists.org/luis-alvarez/,"In 1932, Alvarez built an array of Geiger counters to study cosmic rays."
1932,build,Geiger,https://www.famousscientists.org/luis-alvarez/,"In 1932, Alvarez built an array of Geiger counters to study cosmic rays."
Alvarez,build,Geiger,https://www.famousscientists.org/luis-alvarez/,"In 1932, Alvarez built an array of Geiger counters to study cosmic rays."
1936,complete,Alvarez,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
1936,complete,the University of California’s,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
1936,complete,Radiation Laboratory,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
1936,complete,Berkeley,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
Alvarez,complete,the University of California’s,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
Alvarez,complete,Radiation Laboratory,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
Alvarez,complete,Berkeley,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
the University of California’s,complete,Radiation Laboratory,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
the University of California’s,complete,Berkeley,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
Radiation Laboratory,complete,Berkeley,https://www.famousscientists.org/luis-alvarez/,"After completing his Ph.D. in 1936, Alvarez returned to his home state, beginning work as an experimental physicist at the University of California’s Radiation Laboratory in Berkeley."
1937,devise,Alvarez,https://www.famousscientists.org/luis-alvarez/,In 1937 Alvarez devised a new experiment to ask Mother Nature whether the process really happened.
1937,devise,Mother Nature,https://www.famousscientists.org/luis-alvarez/,In 1937 Alvarez devised a new experiment to ask Mother Nature whether the process really happened.
